,RF1,RF2,RF3,RF4,RF5,RF6,RF7,RF8,RF9,RF10,RF11,RF12,RF13,RF14,RF15,Hosp_rate,Hosp_rate.lci,Hosp_rate.uci,Hosp_Prob1,Hosp_Prob.lci,Hosp_Prob.uci,Hosp_Prob
163,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0.013,0.006,0.027,0.012915865,0.005982036,0.026638758,1.29
164,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0.018,0.009,0.035,0.017838968,0.008959621,0.034394584,1.78
165,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0.008,0.004,0.015,0.007968085,0.003992011,0.01488806,0.8
166,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0.011,0.006,0.02,0.010939721,0.005982036,0.019801327,1.09
167,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0.026,0.013,0.055,0.02566491,0.012915865,0.053514852,2.57
168,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0.035,0.017,0.068,0.034394584,0.016856315,0.065739526,3.44
169,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0.007,0.004,0.015,0.006975557,0.003992011,0.01488806,0.7
170,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0.01,0.005,0.019,0.009950166,0.004987521,0.018820638,1
171,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0.024,0.011,0.052,0.02371429,0.010939721,0.050671133,2.37
172,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0.033,0.016,0.068,0.03246144,0.01587268,0.065739526,3.25
173,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0.015,0.007,0.03,0.01488806,0.006975557,0.029554466,1.49
174,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0.02,0.01,0.038,0.019801327,0.009950166,0.037287059,1.98
175,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0.048,0.022,0.108,0.046866213,0.021759765,0.102372404,4.69
176,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0.066,0.031,0.136,0.063869136,0.030524427,0.127157368,6.39
177,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0.006,0.003,0.011,0.005982036,0.002995504,0.010939721,0.6
178,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0.008,0.004,0.014,0.007968085,0.003992011,0.013902456,0.8
179,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0.018,0.009,0.038,0.017838968,0.008959621,0.037287059,1.78
180,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0.025,0.012,0.05,0.024690088,0.011928287,0.048770575,2.47
181,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0.011,0.006,0.022,0.010939721,0.005982036,0.021759765,1.09
182,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0.015,0.008,0.029,0.01488806,0.007968085,0.028583536,1.49
183,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0.037,0.017,0.077,0.036323865,0.016856315,0.074110146,3.63
184,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0.049,0.024,0.098,0.04781887,0.02371429,0.093351096,4.78
185,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0.01,0.005,0.021,0.009950166,0.004987521,0.020781035,1
186,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0.014,0.007,0.028,0.013902456,0.006975557,0.027611633,1.39
187,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0.034,0.016,0.073,0.033428495,0.01587268,0.07039917,3.34
188,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0.046,0.022,0.095,0.044958038,0.021759765,0.090627066,4.5
189,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0.021,0.01,0.042,0.020781035,0.009950166,0.041130219,2.08
190,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0.028,0.014,0.055,0.027611633,0.013902456,0.053514852,2.76
191,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0.068,0.031,0.149,0.065739526,0.030524427,0.138430885,6.57
192,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0.092,0.043,0.187,0.08789485,0.04208861,0.170556264,8.79
193,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.003,0.002,0.005,0.002995504,0.001998001,0.004987521,0.3
194,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0.004,0.002,0.006,0.003992011,0.001998001,0.005982036,0.4
195,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.009,0.005,0.017,0.008959621,0.004987521,0.016856315,0.9
196,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0.012,0.007,0.023,0.011928287,0.006975557,0.022737516,1.19
197,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0.005,0.003,0.009,0.004987521,0.002995504,0.008959621,0.5
198,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0.007,0.004,0.013,0.006975557,0.003992011,0.012915865,0.7
